Date,GDP
2016-06-01,107443.1
2016-07-01,108229.2
2016-08-01,109015.3
2016-09-01,109801.4
2016-10-01,112160.73333333332
2016-11-01,114520.06666666667
2016-12-01,116879.4
2017-01-01,116438.2
2017-02-01,115997.0
2017-03-01,115555.8
2017-04-01,115153.1
2017-05-01,114750.4
2017-06-01,114347.7
2017-07-01,115349.09999999999
2017-08-01,116350.5
2017-09-01,117351.9
2017-10-01,120454.7
2017-11-01,123557.5
2017-12-01,126660.3
2018-01-01,124969.33333333333
2018-02-01,123278.36666666667
2018-03-01,121587.4
2018-04-01,122492.66666666666
2018-05-01,123397.93333333333
2018-06-01,124303.2
2018-07-01,125840.43333333333
2018-08-01,127377.66666666666
2018-09-01,128914.9
2018-10-01,130506.46666666666
2018-11-01,132098.03333333333
2018-12-01,133689.6
2019-01-01,131205.6666666667
2019-02-01,128721.73333333334
2019-03-01,126237.8
2019-04-01,126209.5
2019-05-01,126181.2
2019-06-01,126152.9
2019-07-01,126985.86666666667
2019-08-01,127818.83333333333
2019-09-01,128651.8
2019-10-01,129493.66666666667
2019-11-01,130335.53333333333
2019-12-01,131177.4
2020-01-01,129421.8
2020-02-01,127666.2
2020-03-01,125910.6
2020-04-01,119698.26666666668
2020-05-01,113485.93333333333
2020-06-01,107273.6
2020-07-01,110772.8
2020-08-01,114272.0
2020-09-01,117771.2
2020-10-01,120330.59999999999
2020-11-01,122890.0
2020-12-01,125449.4
2021-01-01,126668.76666666666
2021-02-01,127888.13333333333
2021-03-01,129107.5
2021-04-01,130102.83333333333
2021-05-01,131098.16666666666
2021-06-01,132093.5
2021-07-01,132607.7
2021-08-01,133121.9
2021-09-01,133636.1
2021-10-01,135262.33333333334
2021-11-01,136888.56666666665
2021-12-01,138514.8
2022-01-01,139632.69999999998
2022-02-01,140750.6
2022-03-01,141868.5
